id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
29810,NZCS,small_airport,"Cromwell Racecourse Aerodrome",-45.04859924316406,169.17100524902344,856,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,NZCS,,,,https://en.wikipedia.org/wiki/Cromwell_Racecourse_Aerodrome,,50,2008-07-18T11:54:08+00:00
30102,NZMW,small_airport,"Makarora Airstrip",-44.2317008972168,169.22999572753906,1142,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,NZMW,,,,,,50,2008-07-18T10:45:38+00:00
314997,NZ-0021,small_airport,"Glenshe Airstrip",-45.0419,170.2403,1637,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,,,,,,,50,2015-07-17T03:02:09+00:00
30464,NZTK,small_airport,"Takaka Airport",-40.81330108642578,172.77499389648438,102,OC,"New Zealand",NZ,"Tasman Region",NZ-TAS,TAS,,0,NZTK,KTF,,,,,50,2008-09-15T10:18:10+00:00
29804,NZCX,small_airport,"Coromandel Aerodrome",-36.79169845581055,175.50900268554688,10,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZCX,CMV,,,https://en.wikipedia.org/wiki/Coromandel_Aerodrome,,50,2008-07-18T11:53:31+00:00
30021,NZKC,small_airport,"Kelly Field",-37.256099700927734,175.07200622558594,52,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZKC,,,,,,50,2008-07-18T11:17:19+00:00
30132,NZME,small_airport,"Mercer1 PDZ Airport",-37.25749969482422,175.11500549316406,30,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZME,,,,,,50,2008-07-18T11:22:12+00:00
30476,NZTA,small_airport,"Te Aroha Airfield",-37.474700927734375,175.6179962158203,30,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZTA,,,,,,50,2008-07-18T11:21:01+00:00
30483,NZTH,small_airport,"Thames Aerodrome",-37.156700134277344,175.5500030517578,10,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZTH,TMZ,,,,,50,2008-07-18T11:26:07+00:00
30498,NZTN,small_airport,"Turangi Airport",-38.968299865722656,175.81399536132812,1220,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZTN,,,,,,50,2008-07-18T11:15:08+00:00
